date,crop,location,price_quintal
2024-01-01,Onion,Jalgaon,2400
2024-01-02,Onion,Jalgaon,2420
2024-01-03,Onion,Jalgaon,2450
2024-01-04,Onion,Jalgaon,2480
2024-01-05,Onion,Jalgaon,2510
2024-01-06,Onion,Jalgaon,2540
2024-01-07,Onion,Jalgaon,2560
2024-01-08,Onion,Jalgaon,2580
2024-01-09,Onion,Jalgaon,2600
2024-01-10,Onion,Jalgaon,2620
2024-01-11,Onion,Jalgaon,2640
2024-01-12,Onion,Jalgaon,2650
2024-01-13,Onion,Jalgaon,2670
2024-01-14,Onion,Jalgaon,2690
2024-01-15,Onion,Jalgaon,2710
2024-01-16,Onion,Jalgaon,2730
2024-01-17,Onion,Jalgaon,2750
2024-01-18,Onion,Jalgaon,2770
2024-01-19,Onion,Jalgaon,2790
2024-01-20,Onion,Jalgaon,2810
2024-01-21,Onion,Jalgaon,2830
2024-01-22,Onion,Jalgaon,2850
2024-01-23,Onion,Jalgaon,2870
2024-01-24,Onion,Jalgaon,2890
2024-01-25,Onion,Jalgaon,2910
2024-01-26,Onion,Jalgaon,2930
2024-01-27,Onion,Jalgaon,2950
2024-01-28,Onion,Jalgaon,2970
2024-01-29,Onion,Jalgaon,2990
2024-01-30,Onion,Jalgaor,3010
2024-01-31,Onion,Jalgaon,3030
2024-02-01,Onion,Jalgaon,3050
2024-02-02,Onion,Jalgaon,3070
2024-02-03,Onion,Jalgaon,3090
2024-02-04,Onion,Jalgaon,3110
2024-02-05,Onion,Jalgaon,3130
2024-02-06,Onion,Jalgaon,3150
2024-02-07,Onion,Jalgaon,3170
2024-02-08,Onion,Jalgaon,3190
2024-02-09,Onion,Jalgaon,3210
2024-02-10,Onion,Jalgaon,3230
2024-02-11,Onion,Jalgaon,3250
2024-02-12,Onion,Jalgaon,3270
2024-02-13,Onion,Jalgaon,3290
2024-02-14,Onion,Jalgaon,3310
2024-02-15,Onion,Jalgaon,3330
2024-02-16,Onion,Jalgaon,3350
2024-02-17,Onion,Jalgaon,3370
2024-02-18,Onion,Jalgaon,3390
2024-02-19,Onion,Jalgaon,3410
2024-02-20,Onion,Jalgaon,3430
2024-02-21,Onion,Jalgaon,3450
2024-02-22,Onion,Jalgaon,3470
2024-02-23,Onion,Jalgaon,3490
2024-02-24,Onion,Jalgaon,3510
2024-02-25,Onion,Jalgaon,3530
2024-02-26,Onion,Jalgaon,3550
2024-02-27,Onion,Jalgaon,3570
2024-02-28,Onion,Jalgaon,3590
2024-02-29,Onion,Jalgaon,3610
2024-03-01,Onion,Jalgaon,3630
2024-03-02,Onion,Jalgaon,3650
2024-03-03,Onion,Jalgaon,3670
2024-03-04,Onion,Jalgaon,3690
2024-03-05,Onion,Jalgaon,3710
2024-03-06,Onion,Jalgaon,3730
2024-03-07,Onion,Jalgaon,3750
2024-03-08,Onion,Jalgaon,3770
2024-03-09,Onion,Jalgaon,3790
2024-03-10,Onion,Jalgaon,3810
2024-03-11,Onion,Jalgaon,3830
2024-03-12,Onion,Jalgaon,3850
2024-03-13,Onion,Jalgaon,3870
2024-03-14,Onion,Jalgaon,3890
2024-03-15,Onion,Jalgaon,3910
2024-03-16,Onion,Jalgaon,3930
2024-03-17,Onion,Jalgaon,3950
2024-03-18,Onion,Jalgaon,3970
2024-03-19,Onion,Jalgaon,3990
2024-03-20,Onion,Jalgaon,4010
2024-03-21,Onion,Jalgaon,4030
2024-03-22,Onion,Jalgaon,4050
2024-03-23,Onion,Jalgaon,4070
2024-03-24,Onion,Jalgaon,4090
2024-03-25,Onion,Jalgaon,4110
2024-03-26,Onion,Jalgaon,4130
2024-03-27,Onion,Jalgaon,4150
2024-03-28,Onion,Jalgaon,4170
2024-03-29,Onion,Jalgaon,4190
2024-03-30,Onion,Jalgaon,4210
2024-03-31,Onion,Jalgaon,4230
2024-04-01,Onion,Jalgaon,4250
2024-04-02,Onion,Jalgaon,4270
2024-04-03,Onion,Jalgaon,4290
2024-04-04,Onion,Jalgaon,4310
2024-04-05,Onion,Jalgaon,4330
2024-04-06,Onion,Jalgaon,4350
2024-04-07,Onion,Jalgaon,4370
2024-04-08,Onion,Jalgaon,4390
2024-04-09,Onion,Jalgaon,4410
2024-04-10,Onion,Jalgaon,4430
2024-04-11,Onion,Jalgaon,4450
2024-04-12,Onion,Jalgaon,4470
2024-04-13,Onion,Jalgaon,4490
2024-04-14,Onion,Jalgaon,4510
2024-04-15,Onion,Jalgaon,4530
2024-04-16,Onion,Jalgaon,4550
2024-04-17,Onion,Jalgaon,4570
2024-04-18,Onion,Jalgaon,4590
2024-04-19,Onion,Jalgaon,4610
2024-04-20,Onion,Jalgaon,4630
2024-04-21,Onion,Jalgaon,4650
2024-04-22,Onion,Jalgaon,4670
2024-04-23,Onion,Jalgaon,4690
2024-04-24,Onion,Jalgaon,4710
2024-04-25,Onion,Jalgaon,4730
2024-04-26,Onion,Jalgaon,4750
2024-04-27,Onion,Jalgaon,4770
2024-04-28,Onion,Jalgaon,4790
2024-04-29,Onion,Jalgaon,4810
2024-04-30,Onion,Jalgaon,4830
2024-05-01,Tomato,Kolar,1800
2024-05-02,Tomato,Kolar,1820
2024-05-03,Tomato,Kolar,1850
2024-05-04,Tomato,Kolar,1880
2024-05-05,Tomato,Kolar,1910
2024-05-06,Tomato,Kolar,1940
2024-05-07,Tomato,Kolar,1970
2024-05-08,Tomato,Kolar,2000
2024-05-09,Tomato,Kolar,2030
2024-05-10,Tomato,Kolar,2060
2024-05-11,Tomato,Kolar,2090
2024-05-12,Tomato,Kolar,2120
2024-05-13,Tomato,Kolar,2150
2024-05-14,Tomato,Kolar,2180
2024-05-15,Tomato,Kolar,2210
2024-05-16,Tomato,Kolar,2240
2024-05-17,Tomato,Kolar,2270
2024-05-18,Tomato,Kolar,2300
2024-05-19,Tomato,Kolar,2330
2024-05-20,Tomato,Kolar,2360
2024-05-21,Tomato,Kolar,2390
2024-05-22,Tomato,Kolar,2420
2024-05-23,Tomato,Kolar,2450
2024-05-24,Tomato,Kolar,2480
2024-05-25,Tomato,Kolar,2510
2024-05-26,Tomato,Kolar,2540
2024-05-27,Tomato,Kolar,2570
2024-05-28,Tomato,Kolar,2600
2024-05-29,Tomato,Kolar,2630
2024-05-30,Tomato,Kolar,2660
2024-05-31,Tomato,Kolar,2690
2024-06-01,Wheat,Delhi,2200
2024-06-02,Wheat,Delhi,2220
2024-06-03,Wheat,Delhi,2240
2024-06-04,Wheat,Delhi,2260
2024-06-05,Wheat,Delhi,2280
2024-06-06,Wheat,Delhi,2300
2024-06-07,Wheat,Delhi,2320
2024-06-08,Wheat,Delhi,2340
2024-06-09,Wheat,Delhi,2360
2024-06-10,Wheat,Delhi,2380
2024-06-11,Wheat,Delhi,2400
2024-06-12,Wheat,Delhi,2420
2024-06-13,Wheat,Delhi,2440
2024-06-14,Wheat,Delhi,2460
2024-06-15,Wheat,Delhi,2480
2024-06-16,Wheat,Delhi,2500
2024-06-17,Wheat,Delhi,2520
2024-06-18,Wheat,Delhi,2540
2024-06-19,Wheat,Delhi,2560
2024-06-20,Wheat,Delhi,2580
2024-06-21,Wheat,Delhi,2600
2024-06-22,Wheat,Delhi,2620
2024-06-23,Wheat,Delhi,2640
2024-06-24,Wheat,Delhi,2660
2024-06-25,Wheat,Delhi,2680
2024-06-26,Wheat,Delhi,2700
2024-06-27,Wheat,Delhi,2720
2024-06-28,Wheat,Delhi,2740
2024-06-29,Wheat,Delhi,2760
2024-06-30,Wheat,Delhi,2780
2024-07-01,Rice,Punjab,2800
2024-07-02,Rice,Punjab,2820
