idx_no,crop_name_en,crop_name_hi,crop_name_mr,disease_name_en,disease_name_hi,disease_name_mr,disease_type,severity_level,cause,question_en,question_hi,question_mr,remedy_en,remedy_hi,remedy_mr,season,affected_plant_part,indian_state(major)
1,sugarcane,गन्ना,ऊस ,Leaf Scald,लीफ स्काल्ड,पानावरील पांढरे पट्टे,Bacterial,Mild,Xanthomonas albilineans,The top spindle leaf on my plant has started to look white and water-soaked.,मेरे पौधे की ऊपरी स्पिंडल पत्ती सफेद और पानी से लथपथ दिखने लगी है।,माझ्या रोपावरील वरच्या कातळाचे पान पांढरे आणि पाण्याने भिजलेले दिसू लागले आहे.,Remove and destroy infected clumps from field immediately,संक्रमित गुच्छों को खेत से तुरंत हटा कर नष्ट कर दें,प्रादुर्भाव झालेले गठ्ठे ताबडतोब शेतातून काढून टाका आणि नष्ट करा,Summer,Shoots,Tamil Nadu
2,maize,मक्का,मक्का,Common Rust,सामान्य गेरूआ,तांबेरा,Fungal,Low,Puccinia sorghi,My infected leaves are drying out way too early since the weather got hot.,मौसम गर्म होने के बाद से मेरी संक्रमित पत्तियाँ बहुत जल्दी सूख रही हैं।,हवामान गरम झाल्यापासून माझी संक्रमित पाने खूप लवकर सुकत आहेत.,Apply fungicide at booting stage as preventive measure,Apply fungicide at booting stage as preventive measure,प्रतिबंधात्मक उपाय म्हणून बुरशीनाशक बुटण्याच्या टप्प्यावर लावा,Monsoon,Leaf,Chhattisgarh
3,maize,मक्का,मक्का,Gray Leaf Spot,धूसर पत्ती धब्बा ,करपा,Fungal,Severe,Cercospora zeae-maydis,I’m seeing the upper leaves of my crop getting damaged as the infection progresses.,मैं देख रहा हूं कि संक्रमण बढ़ने पर मेरी फसल की ऊपरी पत्तियां क्षतिग्रस्त हो रही हैं।,संसर्ग वाढत असताना माझ्या पिकाची वरची पाने खराब होत असल्याचे मला दिसत आहे.,Apply strobilurin group fungicides at tasseling stage,टैसलिंग चरण में स्ट्रोबिल्यूरिन समूह कवकनाशकों का प्रयोग करें,स्ट्रोबिल्युरिन ग्रुप बुरशीनाशके टॅसेलिंग अवस्थेत वापरा,Rabi,Leaf,Jammu and Kashmir
4,rice,चावल ,तांदूळ ,Sheath Rot,शीथ रोट,पर्णकोश कूज,Fungal,Moderate,Sarocladium oryzae,The upper sheath on my plants is rotting just as the panicles are starting to emerge.,"जैसे ही पुष्पगुच्छ निकलने लगे हैं, मेरे पौधों का ऊपरी आवरण सड़ रहा है।",पॅनिकल्स दिसू लागल्याप्रमाणे माझ्या झाडावरील वरचे आवरण कुजत आहे.,Apply Mancozeb spray twice at 10-day interval in field,खेत में 10 दिन के अंतराल पर दो बार मैंकोजेब स्प्रे लगाएं,शेतात 10 दिवसांच्या अंतराने दोनदा मॅन्कोझेब फवारणी करा,Kharif,Upper Sheath,Assam
5,maize,मक्का,मक्का,Downy Mildew,डाउनी मिल्ड्यू,केवडा,Fungal,Severe,Peronosclerospora sorghi,My infected plants are barely forming any ears or producing any grain at all.,मेरे संक्रमित पौधों में बमुश्किल बालियाँ बन रही हैं या बिल्कुल भी दाना नहीं आ रहा है।,माझी संक्रमित झाडे क्वचितच कान तयार करत आहेत किंवा कोणतेही धान्य तयार करत आहेत.,Apply mefenoxam seed treatment before planting,Apply mefenoxam seed treatment before planting,पेरणीपूर्वी मेफेनोक्सम बियाणे प्रक्रिया करा,Kharif,Leaf,Karnataka
6,onion,प्याज ,कांदा ,Stemphylium Blight,स्टेमफिलियम ब्लाइट ,स्टेमफिलियम करपा,Fungal,Low,Stemphylium vesicarium,"I noticed lesions appearing on the older, outer leaves of my plants first.","मैंने सबसे पहले अपने पौधों की पुरानी, ​​बाहरी पत्तियों पर घाव देखे।","मला प्रथम माझ्या झाडांच्या जुन्या, बाहेरील पानांवर जखमा दिसून आल्या.",Apply Boscalid plus Pyraclostrobin at 1 gram per liter,बोस्कालिड प्लस पायराक्लोस्ट्रोबिन 1 ग्राम प्रति लीटर की दर से लगाएं,बॉस्कॅलिड अधिक पायराक्लोस्ट्रोबिन 1 ग्रॅम प्रति लिटर या प्रमाणात वापरा,Rabi,Leaf Tip,Madhya Pradesh
7,banana,केला,केळी,Banana Bunchy Top Virus,बंची टॉप,बंची टॉप ,Viral,Severe,Banana bunchy top virus,The growing tip of my plant looks like nothing more than a bunched-up mess of leaves.,मेरे पौधे का बढ़ता हुआ सिरा पत्तियों के गुच्छे-गुच्छे से ज्यादा कुछ नहीं दिखता है।,माझ्या रोपाची वाढणारी टीप पानांच्या गुच्छ-अप गोंधळाशिवाय दुसरे काही दिसत नाही.,Uproot and destroy all infected plants immediately,सभी संक्रमित पौधों को तुरंत उखाड़कर नष्ट कर दें,सर्व संक्रमित झाडे त्वरित उपटून नष्ट करा,Rabi,Whole Plant,Gujarat
8,maize,मक्का,मक्का,Common Rust,सामान्य गेरूआ,तांबेरा,Fungal,Severe,Puccinia sorghi,My plants are looking stunted because of a severe rust infection that hit early on.,मेरे पौधे शुरुआत में ही गंभीर जंग संक्रमण के कारण बौने दिख रहे हैं।,माझी रोपे लवकर आदळणाऱ्या गंभीर गंज संसर्गामुळे खुंटलेली दिसत आहेत.,Apply sulfur dust 80% WP at early infection stage,Apply sulfur dust 80% WP at early infection stage,संसर्गाच्या सुरुवातीच्या टप्प्यावर सल्फर धूळ 80% WP लावा,Monsoon,Leaf Sheath,Madhya Pradesh
9,maize,मक्का,मक्का,Southern Corn Leaf Blight,दक्षिणी मक्का पत्ती झुलसा ,दक्षिण मका पर्ण करपा,Fungal,Severe,Bipolaris maydis,"The spots on my leaves look more rectangular, which is different from northern blight.","मेरी पत्तियों पर धब्बे अधिक आयताकार दिखते हैं, जो उत्तरी ब्लाइट से भिन्न है।","माझ्या पानांवरील डाग अधिक आयताकृती दिसतात, जे उत्तरी ब्लाइटपेक्षा वेगळे आहेत.",Use ziram 80% WP spray at 2.5 g per litre,ज़िरम 80% WP स्प्रे 2.5 ग्राम प्रति लीटर का उपयोग करें,झिराम 80% WP स्प्रे 2.5 ग्रॅम प्रति लिटर वापरा,Monsoon,Ear,Tamil Nadu
10,Tomato,टमाटर,टोमॅटो ,Septoria Leaf Spot,सेप्टोरिया पत्ती धब्बा,सेप्टोरिया पानावरील ठिपके,Fungal,Low,Septoria lycopersici,"I found small, circular, water-soaked spots showing up on my lower leaves.","मैंने पाया कि मेरी निचली पत्तियों पर छोटे, गोलाकार, पानी से लथपथ धब्बे दिखाई दे रहे हैं।","मला माझ्या खालच्या पानांवर लहान, गोलाकार, पाण्यात भिजलेले डाग दिसले.",Spray mancozeb 75% WP at 2 g per litre every 10 days,हर 10 दिन पर मैंकोजेब 75% डब्लूपी 2 ग्राम प्रति लीटर का छिड़काव करें,मॅन्कोझेब 75% WP 2 ग्रॅम प्रति लिटर या प्रमाणात दर 10 दिवसांनी फवारावे,Monsoon,Leaf Stalk,Haryana
