disease,crop,problem_en,problem_hi,problem_mr,action_en,action_hi,action_mr,medicine_en,medicine_hi,medicine_mr,dosage,prevention_en,prevention_hi,prevention_mr,soil_condition,root_health,weather_effect,farmer_tip_en,farmer_tip_hi,farmer_tip_mr,urgency_level,confidence_level,quick_advice_en,quick_advice_hi,quick_advice_mr,organic_solution_en,organic_solution_hi,organic_solution_mr
leaf_curl,Chilli,Leaves are curling and shrinking,पत्ते मुड़ रहे हैं,पाने वाकत आहेत,Control insects and spray medicine,कीट नियंत्रण करें और दवा छिड़कें,कीड नियंत्रण करून फवारणी करा,Imidacloprid,इमिडाक्लोप्रिड,इमिडाक्लोप्रिड,0.3ml per liter water,Use sticky traps to catch insects,कीट पकड़ने के लिए ट्रैप लगाएं,कीड सापळे वापरा,Dry soil condition,Roots weak due to stress,Spreads in hot dry weather,Check plants daily for insects,रोज पौधे जांचें,दररोज झाडे तपासा,Medium,Medium,Control insects immediately,कीट तुरंत नियंत्रित करें,कीड लगेच नियंत्रण करा,Neem spray helps reduce insects,नीम का उपयोग करें,नीम वापरा
early_blight,Potato,Brown spots visible on leaves,पत्तों पर भूरे धब्बे हैं,पानांवर तपकिरी डाग आहेत,Spray medicine and keep spacing,दवा छिड़कें और दूरी रखें,फवारणी करा आणि अंतर ठेवा,Mancozeb,मॅन्कोझेब,मॅन्कोझेब,2g per liter water,Avoid keeping leaves wet,पत्तों को गीला न रखें,पाने ओले ठेवू नका,Moist soil condition,Roots moderately affected,Spreads in humid weather,Improve airflow between plants,हवा का प्रवाह बढ़ाएं,हवा खेळती ठेवा,Medium,Medium,Spray today,आज छिड़काव करें,आज फवारणी करा,Milk spray can help early stage,दूध छिड़काव करें,दूध फवारणी करा
late_blight,Tomato,Leaves look wet and damaged,पत्ते पानी जैसे खराब दिख रहे हैं,पाने ओले आणि खराब दिसत आहेत,Remove infected plants and spray medicine,संक्रमित पौधे हटाकर दवा छिड़कें,रोगग्रस्त झाडे काढून फवारणी करा,Metalaxyl + Mancozeb,मेटालॅक्सिल + मॅन्कोझेब,मेटालॅक्सिल + मॅन्कोझेब,2.5g per liter water,Avoid watering from top,ऊपर से पानी न दें,वरून पाणी देऊ नका,Water stays on leaves,Root damage possible,Spreads in cool and wet weather,Act quickly to save crop,जल्दी कार्रवाई करें,लवकर कृती करा,High,High,Act now to stop damage,अभी रोकथाम करें,आता थांबवा,Neem solution can help early stage,नीम उपयोग करें,नीम वापरा
rice_blast,Rice,Spots are forming on leaves,पत्तियों पर धब्बे बन रहे हैं,पानांवर डाग दिसत आहेत,Spray medicine on leaves in morning or evening,सुबह या शाम को दवा का छिड़काव करें,सकाळी किंवा संध्याकाळी फवारणी करा,Tricyclazole,ट्राइसायक्लाझोल,ट्रायसायक्लाझोल,0.6g per liter water,Do not keep field too wet,खेत में ज्यादा पानी न रखें,शेतीत जास्त पाणी ठेवू नका,Too much water in soil,Roots getting weak,Spreads fast in rainy weather,Remove infected leaves quickly,संक्रमित पत्तियाँ तुरंत हटा दें,रोगग्रस्त पाने लगेच काढा,High,High,Spray now to stop spread,अभी छिड़काव करें,आता फवारणी करा,Use neem spray as natural option,नीम का छिड़काव करें,नीम फवारणी वापरा
powdery_mildew,Mango,White powder seen on leaves,पत्तों पर सफेद पाउडर दिख रहा है,पानांवर पांढरी भुकटी दिसते,Spray sulfur medicine,सल्फर का छिड़काव करें,सल्फर फवारणी करा,Sulfur,सल्फर,सल्फर,2g per liter water,Prune crowded branches,भीड़ वाली शाखाएं हटाएं,दाट फांद्या कापा,Dry soil condition,Roots healthy,Spreads in dry nights,Ensure proper sunlight,धूप सही मिले,सूर्यप्रकाश मिळू द्या,Medium,Medium,Spray sulfur,सल्फर छिड़कें,सल्फर फवारणी करा,Milk spray can help,दूध छिड़काव करें,दूध फवारणी करा
rust,Wheat,Orange rust spots on leaves,पत्तों पर नारंगी जंग के धब्बे,पानांवर केशरी गंज दिसतो,Spray fungicide early,जल्दी दवा छिड़कें,लवकर फवारणी करा,Propiconazole,प्रोपिकोनाझोल,प्रोपिकोनाझोल,1ml per liter water,Use resistant seeds,प्रतिरोधक बीज लगाएं,प्रतिरोधक बियाणे वापरा,Well drained soil,Roots strong,Spreads in cool humid weather,Monitor crop regularly,फसल पर नजर रखें,पीक तपासा,Medium,Medium,Spray early,जल्दी छिड़काव करें,लवकर फवारणी करा,Ash spray can help,राख छिड़काव करें,राख फवारणी करा
bacterial_blight,Rice,Leaves are drying from edges,पत्ते किनारों से सूख रहे हैं,पाने कडेकडून सुकत आहेत,Drain excess water and spray medicine,अतिरिक्त पानी निकालें और दवा छिड़कें,जास्त पाणी काढून फवारणी करा,Streptocycline,स्ट्रेप्टोसायक्लीन,स्ट्रेप्टोसायक्लीन,1g per 10 liter water,Keep field clean and use healthy seeds,खेत साफ रखें और स्वस्थ बीज उपयोग करें,शेती स्वच्छ ठेवा आणि चांगले बियाणे वापरा,Waterlogged soil,Roots weak,Spreads in rainy season,Do not allow standing water,खेत में पानी जमा न होने दें,पाणी साचू देऊ नका,High,High,Drain water immediately,अभी पानी निकालें,आता पाणी काढा,Neem extract spray helps,नीम अर्क का उपयोग करें,नीम अर्क वापरा
leaf_spot,Groundnut,Small dark spots on leaves,पत्तों पर छोटे काले धब्बे,पानांवर छोटे काळे डाग,Spray fungicide on leaves,पत्तों पर दवा छिड़कें,पानांवर फवारणी करा,Chlorothalonil,क्लोरोथालोनिल,क्लोरोथालोनिल,2g per liter water,Avoid overcrowding plants,पौधों को ज्यादा पास न लगाएं,झाडे खूप जवळ लावू नका,Moist soil,Roots moderately affected,Spreads in humid weather,Maintain proper spacing,दूरी बनाए रखें,अंतर ठेवा,Medium,Medium,Spray medicine today,आज दवा छिड़कें,आज फवारणी करा,Neem spray can help early stage,नीम का उपयोग करें,नीम वापरा
downy_mildew,Grapes,Yellow patches on upper leaves,ऊपरी पत्तों पर पीले धब्बे,वरच्या पानांवर पिवळे डाग,Spray medicine and improve airflow,दवा छिड़कें और हवा का प्रवाह बढ़ाएं,फवारणी करा आणि हवा खेळती ठेवा,Metalaxyl,मेटालॅक्सिल,मेटालॅक्सिल,2g per liter water,Avoid water on leaves,पत्तों पर पानी न रहने दें,पानांवर पाणी राहू देऊ नका,Wet soil,Roots weak,Spreads in wet weather,Check crop daily,रोज जांच करें,दररोज तपासा,High,High,Act fast to control,जल्दी नियंत्रण करें,लवकर नियंत्रण करा,Use neem spray as support,नीम का उपयोग करें,नीम वापरा
anthracnose,Mango,Black spots on fruits and leaves,फलों और पत्तों पर काले धब्बे,फळांवर आणि पानांवर काळे डाग,Remove infected parts and spray,संक्रमित भाग हटाएं और छिड़काव करें,रोगग्रस्त भाग काढून फवारणी करा,Carbendazim,कार्बेन्डाजिम,कार्बेन्डाजिम,1g per liter water,Keep orchard clean,बाग साफ रखें,बाग स्वच्छ ठेवा,Humid soil,Roots slightly affected,Spreads in rainy weather,Collect fallen leaves,गिरे पत्ते हटाएं,गळलेली पाने काढा,Medium,Medium,Spray regularly,नियमित छिड़काव करें,नियमित फवारणी करा,Use neem solution,नीम उपयोग करें,नीम वापरा
fruit_rot,Tomato,Fruits are rotting and soft,फल सड़ रहे हैं,फळे सडत आहेत,Remove infected fruits and spray,सड़े फल हटाएं और दवा छिड़कें,सडलेली फळे काढा आणि फवारणी करा,Captan,कैप्टान,कॅप्टन,2g per liter water,Avoid excess watering,ज्यादा पानी न दें,जास्त पाणी देऊ नका,Wet soil,Roots affected,Spreads in wet conditions,Harvest healthy fruits early,स्वस्थ फल जल्दी तोड़ें,चांगली फळे लवकर तोडा,High,High,Act quickly,जल्दी कार्रवाई करें,लवकर कृती करा,Use ash or neem spray,राख या नीम उपयोग करें,राख किंवा नीम वापरा
stem_rot,Groundnut,Stem is rotting near soil,तना मिट्टी के पास सड़ रहा है,खोड माती जवळ सडत आहे,Remove affected plants,संक्रमित पौधे हटाएं,रोगग्रस्त झाडे काढा,Carbendazim,कार्बेन्डाजिम,कार्बेन्डाजिम,1g per liter water,Avoid waterlogging,जलभराव न होने दें,पाणी साचू देऊ नका,Waterlogged soil,Roots damaged,Spreads in wet soil,Improve drainage,पानी निकासी सुधारें,पाण्याचा निचरा करा,High,High,Remove affected plants now,अभी पौधे हटाएं,आता झाडे काढा,Neem cake in soil helps,नीम खली उपयोग करें,नीम खत वापरा
yellow_leaf,Maize,Leaves turning yellow,पत्ते पीले हो रहे हैं,पाने पिवळी होत आहेत,Apply fertilizer and check soil,खाद डालें और मिट्टी जांचें,खत टाका आणि माती तपासा,Urea,यूरिया,युरिया,Apply as per requirement,Maintain soil nutrients,मिट्टी पोषण बनाए रखें,माती पोषण ठेवा,Nutrient deficient soil,Roots weak,Hot weather stress,Use balanced fertilizer,संतुलित खाद दें,संतुलित खत वापरा,Low,Medium,Apply fertilizer now,अभी खाद डालें,आता खत टाका,Use compost or organic manure,जैविक खाद दें,सेंद्रिय खत वापरा
